Date,Open,High,Low,Close,Adj Close,Volume
2016-04-20,83.290001,83.339996,81.480003,81.550003,74.098335,9124200
2016-04-21,81.040001,81.309998,80.550003,80.800003,73.416878,8802100
2016-04-22,80.400002,80.949997,79.910004,80.949997,73.553169,8027700
2016-04-25,80.919998,81.480003,80.419998,81.410004,73.971130,7672800
2016-04-26,81.500000,81.500000,79.209999,79.550003,72.281082,13742300
2016-04-27,79.470001,80.150002,79.099998,79.889999,72.590034,7689700
2016-04-28,79.480003,80.269997,79.389999,79.760002,72.471909,7615900
2016-04-29,79.669998,80.150002,79.370003,80.120003,72.799004,9391000
2016-05-02,80.019997,81.300003,80.019997,80.970001,73.571327,7862600
2016-05-03,80.800003,81.699997,80.690002,81.099998,73.689445,7617500
2016-05-04,80.870003,81.769997,80.870003,81.599998,74.143753,7365900
2016-05-05,81.599998,82.089996,80.919998,81.300003,73.871178,6399500
2016-05-06,81.419998,82.250000,81.169998,82.129997,74.625336,6297200
2016-05-09,82.209999,82.730003,81.970001,82.120003,74.616241,6718800
2016-05-10,82.150002,82.680000,82.120003,82.480003,74.943359,6222400
2016-05-11,82.500000,82.889999,82.129997,82.150002,74.643524,5975000
2016-05-12,82.480003,82.739998,82.110001,82.410004,74.879761,4925000
2016-05-13,82.419998,82.419998,81.000000,81.230003,73.807571,6579000
2016-05-16,81.010002,81.889999,80.750000,81.629997,74.171021,6497200
2016-05-17,81.639999,82.059998,80.330002,80.620003,73.253319,10188200
2016-05-18,80.589996,80.769997,79.410004,79.849998,72.553658,8344100
2016-05-19,79.639999,80.220001,79.449997,80.190002,72.862617,6242500
2016-05-20,80.440002,80.500000,79.790001,80.019997,72.708138,6526800
2016-05-23,80.050003,80.330002,79.849998,80.199997,72.871689,5617000
2016-05-24,80.300003,81.379997,80.300003,80.970001,73.571327,6293300
2016-05-25,81.080002,81.769997,81.010002,81.480003,74.034729,6049800
2016-05-26,81.480003,81.599998,81.089996,81.220001,73.798485,4560400
2016-05-27,81.269997,81.660004,81.160004,81.430000,73.989296,4322200
2016-05-31,81.580002,81.820000,80.739998,81.040001,73.634933,6705000
2016-06-01,80.949997,81.800003,80.860001,81.790001,74.316414,6184100
2016-06-02,81.529999,81.949997,81.330002,81.949997,74.461784,5184500
2016-06-03,81.930000,82.489998,81.779999,82.470001,74.934265,6306700
2016-06-06,82.400002,82.830002,82.230003,82.769997,75.206863,5292300
2016-06-07,82.760002,82.889999,82.250000,82.320000,74.797974,6327500
2016-06-08,82.370003,82.750000,82.019997,82.650002,75.097824,4712600
2016-06-09,82.580002,83.260002,82.430000,83.169998,75.570320,6144900
2016-06-10,82.769997,83.339996,82.610001,83.199997,75.597557,6840800
2016-06-13,82.959999,83.400002,82.529999,82.570000,75.025139,6167400
2016-06-14,82.550003,83.370003,82.269997,83.349998,75.733864,6868600
2016-06-15,83.400002,83.500000,82.820000,82.949997,75.370399,7082200
2016-06-16,82.669998,83.610001,82.660004,83.410004,75.788391,6630100
2016-06-17,83.309998,83.440002,82.349998,83.129997,75.533958,11741700
2016-06-20,83.519997,83.699997,83.029999,83.040001,75.452202,6164300
2016-06-21,83.089996,83.779999,83.089996,83.410004,75.788391,6594700
2016-06-22,83.500000,83.760002,83.290001,83.570000,75.933762,4940100
2016-06-23,83.809998,84.209999,83.570000,84.209999,76.515282,7361300
2016-06-24,82.610001,83.820000,81.989998,82.260002,74.743446,12401100
2016-06-27,81.830002,81.889999,81.000000,81.230003,73.807571,9601800
2016-06-28,81.440002,82.489998,80.949997,82.459999,74.925201,9257100
2016-06-29,82.959999,83.910004,82.910004,83.910004,76.242683,7927500
2016-06-30,83.910004,84.800003,83.820000,84.669998,76.933243,10969300
2016-07-01,84.519997,84.989998,84.510002,84.779999,77.033195,9531100
2016-07-05,84.480003,85.949997,84.449997,85.440002,77.632881,11403100
2016-07-06,85.370003,85.500000,84.739998,85.029999,77.260338,8356500
2016-07-07,85.230003,85.239998,84.529999,84.830002,77.078613,7905700
2016-07-08,84.980003,85.900002,84.769997,85.769997,77.932739,6827300
2016-07-11,85.610001,85.949997,84.910004,85.750000,77.914558,6156800
2016-07-12,85.489998,85.940002,85.190002,85.750000,77.914558,6649800
2016-07-13,85.809998,86.150002,85.410004,85.889999,78.041779,7572100
2016-07-14,86.440002,86.889999,85.849998,85.870003,78.023582,11342600
2016-07-15,86.250000,86.480003,85.790001,86.010002,78.150795,8491300
2016-07-18,86.019997,86.050003,85.699997,85.930000,78.078117,4781300
2016-07-19,85.669998,86.180000,85.559998,86.169998,78.296181,6078200
2016-07-20,85.379997,85.730003,85.129997,85.320000,78.130882,6289000
2016-07-21,85.019997,85.370003,84.879997,85.260002,78.075943,5407000
2016-07-22,85.500000,85.980003,85.449997,85.720001,78.497200,6165600
2016-07-25,85.529999,85.800003,85.150002,85.800003,78.570450,5605300
2016-07-26,85.680000,86.080002,85.169998,85.269997,78.085106,5379300
2016-07-27,85.239998,85.300003,84.320000,84.459999,77.343346,7734600
2016-07-28,84.419998,84.980003,84.400002,84.809998,77.663857,5911600
2016-07-29,84.889999,85.790001,84.800003,85.589996,78.378143,7520900
2016-08-01,85.440002,86.580002,85.419998,86.410004,79.129051,10420600
2016-08-02,87.019997,87.150002,86.239998,86.760002,79.449554,13083200
2016-08-03,86.510002,86.720001,85.459999,85.970001,78.726120,8192100
2016-08-04,86.120003,86.529999,85.800003,86.050003,78.799385,5557700
2016-08-05,86.080002,86.440002,85.529999,85.779999,78.552132,6729700
2016-08-08,85.610001,85.900002,85.129997,85.760002,78.533813,5388200
2016-08-09,85.860001,86.339996,85.680000,85.989998,78.744438,4158800
2016-08-10,86.260002,86.820000,86.000000,86.309998,79.037468,5981400
2016-08-11,86.699997,87.000000,86.400002,86.730003,79.422096,7350200
2016-08-12,86.919998,87.449997,86.779999,87.040001,79.705963,8063400
2016-08-15,87.519997,87.570000,86.989998,87.019997,79.687637,6871200
2016-08-16,86.980003,87.400002,86.470001,86.580002,79.284721,8071100
2016-08-17,86.449997,87.110001,85.970001,86.959999,79.632706,6762100
2016-08-18,86.940002,87.459999,86.940002,87.440002,80.072258,7082800
2016-08-19,87.199997,87.410004,87.050003,87.309998,79.953201,6199900
2016-08-22,87.139999,87.209999,86.580002,86.849998,79.531967,5921100
2016-08-23,87.129997,87.500000,87.040001,87.400002,80.035637,5420100
2016-08-24,87.320000,87.449997,86.559998,87.309998,79.953201,5713300
2016-08-25,87.300003,87.940002,87.040001,87.900002,80.493507,10595500
2016-08-26,87.870003,88.500000,87.169998,87.580002,80.200462,16408200
2016-08-29,87.389999,88.400002,87.320000,88.300003,80.859810,8875500
2016-08-30,87.720001,88.300003,87.459999,87.540001,80.163834,11619400
2016-08-31,87.750000,87.849998,87.029999,87.309998,79.953201,11407800
